team,week,result,opponent,QB,WR1,WR2,RB1,RB2,TE,FLEX,K,D,FLEXP
jeff,1,L,dave,28.12,14.8,0,9.5,-1.4,0,2.65,11,4,RB
dave,1,W,jeff,25.56,19.84,8.09,19.45,6,16.3,21.4,14,10,RB
owen,1,L,frank,32.08,19.3,23.43,11.15,9.5,3.35,5,7,5,WR
frank,1,W,owen,25.46,28.9,9.73,18.95,3.5,10.8,4.65,12,9,WR
ryan,1,W,anthony,43.88,19.7,10.2,34,26.15,23.5,16.4,5,5,RB
anthony,1,L,ryan,17.8,30.05,18.8,16.45,11.1,7.8,18.6,8,4,WR
fred,1,L,pete,18.62,24,5.1,9.5,14.95,20.35,10.7,5,10,WR
pete,1,W,fred,34.28,2.95,14.4,20.55,15.55,22.9,10.95,8,9,WR
steve,1,W,nate,27.32,5.5,14.55,16.05,13.7,13.8,1.75,9,7,WR
nate,1,L,steve,24.5,5.85,3.35,15.15,20.55,3.1,14.6,7,2,RB
brian,1,L,john,62.48,19.2,3.6,8.45,4,12.25,4.92,10,9,WR
john,1,W,brian,35.34,34.1,15.2,33.75,4.65,20.4,12.05,7,12,RB
jeff,2,W,john,23.42,31.1,1.35,13.65,7.24,22.8,16.6,3,7,RB
john,2,L,jeff,21.92,8.05,11.25,17.1,1.1,9.75,20.28,9,8,WR
dave,2,L,owen,29.3,21.8,4.35,23.5,4.75,9.7,8.9,6,6,WR
owen,2,W,dave,23.42,11.8,10.95,14.65,13.15,14.35,12.65,13,8,WR
ryan,2,L,frank,5.68,8.85,18.3,11.95,8.6,3.6,18.2,7,16,RB
frank,2,W,ryan,39.46,13.9,10.33,22.45,5.6,5.65,4.1,7,2,WR
fred,2,L,anthony,10.9,3.65,22.05,15.6,11.75,1.5,10.7,13,15,RB
anthony,2,W,fred,19.06,7.6,7.3,17.3,10.95,17.2,29.65,12,1,WR
steve,2,W,pete,58.2,7.6,4.55,7.7,8.05,15.25,20.75,2,13,WR
pete,2,L,steve,15.88,7.15,19.55,11.15,4.2,4,3.8,2,7,TE
brian,2,W,nate,28.78,18.65,13.35,35.45,18.95,29.95,12.48,3,22,WR
nate,2,L,brian,14.42,23.8,12.25,19.1,6.35,0,11.94,12,10,RB
jeff,3,L,owen,25.4,15.55,8.35,5.96,8.1,2.5,11.7,9,12,WR
owen,3,W,jeff,30.7,6.8,17.2,14.8,11.95,10.85,15.15,17,1,WR
dave,3,W,ryan,20.34,7.7,8.54,28.2,19.3,4.65,5.95,6,10,WR
ryan,3,L,dave,4.2,4.7,12.65,22.65,13.24,8.35,17.25,12,12,RB
fred,3,L,frank,14.34,8.2,11.9,2.95,15.15,6.45,0,3,3,WR
frank,3,W,fred,19.24,4.25,35.96,21.5,5.4,5.2,12.8,14,2,WR
steve,3,L,anthony,16.96,9,1.2,7.4,12.75,0,3.1,14,25,WR
anthony,3,W,steve,31.62,14.7,7.5,13.8,21.75,6.7,6.1,10,4,WR
brian,3,W,pete,43.56,7.6,20.65,8.6,18.45,27.7,3.29,1,10,WR
pete,3,L,brian,38.38,8.55,12.3,35.5,12.35,1.35,11.8,10,2,WR
nate,3,L,john,25.18,18.75,2.3,7.5,10.07,6,6.4,-1,18,RB
john,3,W,nate,13.26,12.3,9.6,28.8,11.35,27.3,10.36,9,23,WR
jeff,4,W,ryan,27.94,11.4,15.5,11.64,14.6,12.5,15.3,18,8,RB
ryan,4,L,jeff,22.58,7.55,14.95,28.3,3.4,7.15,27.4,12,4,RB
dave,4,L,fred,16.88,18.35,3.06,22.4,4.85,0,4.8,3,8,RB
fred,4,W,dave,25.44,15.4,22.05,10,4.2,9.6,16.3,2,18,RB
owen,4,L,john,22.48,14.5,22.8,8.7,6.1,6.15,10.05,12,13,WR
john,4,W,owen,7.94,9.55,24.3,10.95,24.12,20.55,12.9,13,19,WR
steve,4,L,frank,11.88,3.35,12.9,14.15,13.86,5.65,4.2,8,6,WR
frank,4,W,steve,34.84,29.2,17.62,23,9.7,31.45,4.7,14,2,WR
brian,4,W,anthony,40.08,12.95,9.4,20.75,12.6,21,13.1,5,17,RB
anthony,4,L,brian,7.58,25.3,16,11,5.4,3.4,3.7,12,23,WR
nate,4,L,pete,12.12,12.2,11.7,28.35,29.1,14.1,2.2,8,6,RB
pete,4,W,nate,48.62,11.8,0.95,14.5,26.3,8.9,7.35,9,10,RB
jeff,5,W,fred,58.04,12.95,3.05,8.84,2.2,7.8,7.4,5,4,RB
fred,5,L,jeff,4.88,5.15,23.05,13.4,4.3,9,25,12,4,RB
dave,5,W,steve,34.44,13.43,3.8,22.85,15.8,10.7,13.5,12,9,RB
steve,5,L,dave,21.26,3.15,5.75,1.1,23.37,7.6,7,18,1,WR
owen,5,W,ryan,19.48,4.95,13.45,15.85,0,27.1,14.7,18,22,WR
ryan,5,L,owen,19.96,14.3,9.1,10.95,11.5,19.05,18.45,4,12,WR
brian,5,L,frank,53.16,11.5,13.35,13.15,7.85,16.75,6.45,10,9,RB
frank,5,W,brian,32.26,7.4,31.9,14.7,11.45,14.85,8.05,7,15,WR
nate,5,W,anthony,27.54,0,15.56,16.9,7.45,11.6,27.5,16,7,RB
anthony,5,L,nate,8.72,7.85,11.25,8.1,9.2,8.95,19.6,4,9,WR
pete,5,W,john,30.92,2.75,2.95,12.75,15.8,13.4,29.25,4,0,RB
john,5,L,pete,2.42,8.05,6.75,20.9,5.1,4.8,13.1,17,16,RB
jeff,6,L,steve,11.8,4.4,1.5,6.65,26.2,9.4,5.02,9,5,WR
steve,6,W,jeff,18.2,3.35,5.3,12.4,4.8,6.75,12.05,5,13,WR
dave,6,L,brian,13.94,6.65,12.5,29.5,5.8,5.4,3.3,7,11,RB
brian,6,W,dave,20.6,25.35,7.5,29.7,19.9,0,7.55,13,11,WR
owen,6,W,fred,28.22,11.4,15.15,8.55,15.7,11.1,9.1,5,12,RB
fred,6,L,owen,18.06,16.35,6.8,9.05,15.75,4.25,9.15,1,10,RB
ryan,6,L,john,11.38,13.4,15.65,11.25,23.35,4.35,9.45,7,5,WR
john,6,W,ryan,11.94,17.15,2.2,11.85,16.85,8.2,1.6,8,25,WR
